# {"t_start": 1687707546.2972908, "env_id": "Point2DLargeEnv-v1"} 
r,l,t
-50.0,50,2.251877
-50.0,50,2.280223
-50.0,50,2.308867
-50.0,50,2.336118
-50.0,50,2.3641
-50.0,50,2.397302
-50.0,50,2.424834
-50.0,50,2.452545
-50.0,50,2.481735
-15.0,50,2.508957
-50.0,50,2.536057
-50.0,50,2.564737
-50.0,50,2.593663
-30.0,50,2.623111
-50.0,50,2.650114
-50.0,50,2.679414
-50.0,50,2.707806
-50.0,50,2.735188
-50.0,50,2.763126
-50.0,50,2.791161
-50.0,50,2.819056
-50.0,50,2.847269
-50.0,50,2.87798
-50.0,50,2.909873
-50.0,50,2.937309
-50.0,50,2.96517
-50.0,50,2.995001
-50.0,50,3.023433
-50.0,50,3.050536
-31.0,50,3.079043
-50.0,50,3.107232
-50.0,50,3.134845
-50.0,50,3.162503
-50.0,50,3.190361
-50.0,50,3.21813
-47.0,50,3.246529
-42.0,50,3.274697
-50.0,50,3.30335
-50.0,50,3.331304
-50.0,50,3.36032
-50.0,50,3.395237
-50.0,50,3.423478
-50.0,50,3.451168
-50.0,50,3.479933
-29.0,50,3.507142
-50.0,50,3.534384
-50.0,50,3.56177
-50.0,50,3.590012
-50.0,50,3.618272
-44.0,50,3.645734
-50.0,50,3.67343
-50.0,50,3.701745
-50.0,50,3.729232
-38.0,50,3.759447
-50.0,50,3.788456
-50.0,50,3.816717
-50.0,50,3.845133
-50.0,50,3.876454
-2.0,50,3.91
-50.0,50,3.937884
-50.0,50,3.966388
-50.0,50,3.994913
-50.0,50,4.022154
-9.0,50,4.049497
-39.0,50,4.078357
-50.0,50,4.108919
-50.0,50,4.137717
-50.0,50,4.166088
-50.0,50,4.193813
-50.0,50,4.22155
-50.0,50,4.250593
-50.0,50,4.278579
-50.0,50,4.306889
-50.0,50,4.33434
-50.0,50,4.364864
-50.0,50,4.397956
-50.0,50,4.426631
-50.0,50,4.454777
-40.0,50,4.482993
-47.0,50,4.511912
-50.0,50,4.540003
-50.0,50,4.568232
-50.0,50,4.596793
-50.0,50,4.62536
-50.0,50,4.653579
-36.0,50,4.682777
-50.0,50,4.710941
-50.0,50,4.740017
-50.0,50,4.768577
-50.0,50,4.796829
-50.0,50,4.826462
-50.0,50,4.854571
-50.0,50,4.88776
-50.0,50,4.917188
-50.0,50,4.945798
-50.0,50,4.973546
-50.0,50,5.000759
-50.0,50,5.028897
-50.0,50,5.05566
-50.0,50,5.085089
-27.0,50,5.790044
-16.0,50,5.821375
-50.0,50,5.849625
-50.0,50,5.881355
-50.0,50,5.910564
-29.0,50,5.937901
-50.0,50,5.965879
-50.0,50,5.993715
-29.0,50,6.021322
-50.0,50,6.048451
-36.0,50,6.075894
-50.0,50,6.107086
-47.0,50,6.134356
-50.0,50,6.163372
-50.0,50,6.192343
-50.0,50,6.221333
-50.0,50,6.249144
-16.0,50,6.277225
-35.0,50,6.307029
-32.0,50,6.33546
-23.0,50,6.364289
-50.0,50,6.396529
-50.0,50,6.424603
-47.0,50,6.454464
0.0,50,6.483171
-28.0,50,6.511409
-45.0,50,6.539276
-50.0,50,6.567226
-43.0,50,6.596127
-35.0,50,6.623806
-7.0,50,6.651973
-42.0,50,6.68085
-50.0,50,6.710436
-50.0,50,6.73816
-45.0,50,6.766769
0.0,50,6.7969
-50.0,50,6.828146
-36.0,50,6.858827
-39.0,50,6.893831
-30.0,50,6.925243
-50.0,50,6.95416
-50.0,50,6.982183
-37.0,50,7.009717
-50.0,50,7.037534
-22.0,50,7.066666
-50.0,50,7.096208
-33.0,50,7.125286
-50.0,50,7.154702
-50.0,50,7.183156
-45.0,50,7.211772
-26.0,50,7.240234
-35.0,50,7.269497
