epoch,epoch time(min),stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,stats_u/mean,stats_u/std,test/discount_return,test/distance,test/distance_std,test/episode,test/mean_Q,test/return,test/success_rate,train/discount_return,train/distance,train/distance_std,train/episode,train/return,train/success_rate
0,0.0698547601699829,-0.06954553,2.8061047,0.053546377,2.758062,0.0,1.0,3.6057337043260067,1.9137557,1.0687842,100.0,0.46801862,6.3,0.19,nan,nan,nan,0.0,nan,nan
1,0.06633866230646769,0.0046589933,2.8308768,0.07805385,2.7904139,0.0,1.0,6.948307827740803,1.115568,0.52997476,200.0,0.9997909,12.75,0.42,nan,nan,nan,0.0,nan,nan
2,0.08127091725667318,0.0032131001,2.8165703,0.07220953,2.7606487,0.0,1.0,11.918312442480534,0.7998054,0.38353947,300.0,1.2020863,21.89,0.71,nan,nan,nan,0.0,nan,nan
3,0.07317031224568685,-0.0029461384,2.8282132,0.06420015,2.7638516,0.0,1.0,18.27874262348972,0.42903244,0.31197956,400.0,1.5608702,32.81,0.93,nan,nan,nan,0.0,nan,nan
4,0.05916338364283244,0.006189171,2.8205364,0.06085136,2.7462337,0.0,1.0,21.30651953971711,0.31829715,0.18833451,500.0,1.8921717,37.56,1.0,nan,nan,nan,0.0,nan,nan
5,0.054606827100118,0.0064286087,2.8194067,0.066452876,2.7456264,0.0,1.0,23.27888217389836,0.3105992,0.18286262,600.0,2.256606,40.06,1.0,nan,nan,nan,0.0,nan,nan
6,0.06184990803400676,0.01700119,2.830855,0.0740478,2.750421,0.0,1.0,23.79595307052183,0.44212627,0.25359067,700.0,2.5104198,40.17,0.96,nan,nan,nan,0.0,nan,nan
7,0.059658177693684894,0.009528315,2.8288867,0.057446603,2.7495875,0.0,1.0,25.005515206393767,0.22046085,0.11243252,800.0,2.7494507,42.04,1.0,nan,nan,nan,0.0,nan,nan
8,0.05527469317118327,0.019889442,2.8267841,0.05871472,2.7518604,0.0,1.0,24.845139931550943,0.35815057,0.24505064,900.0,3.0190165,41.91,1.0,nan,nan,nan,0.0,nan,nan
9,0.05940159559249878,0.014369164,2.8269715,0.051829867,2.7529116,0.0,1.0,24.553572983879484,0.39220083,0.21076523,1000.0,3.6322584,41.57,1.0,nan,nan,nan,0.0,nan,nan
10,0.05973860025405884,0.015576486,2.8251019,0.05315841,2.7481976,0.0,1.0,24.46555535453448,0.18366359,0.08837545,1100.0,3.74451,41.42,1.0,nan,nan,nan,0.0,nan,nan
11,0.06348737875620523,0.017381731,2.828882,0.055626404,2.747464,0.0,1.0,23.743770824295783,0.23124231,0.15416351,1200.0,4.096027,40.53,1.0,nan,nan,nan,0.0,nan,nan
12,0.05888951222101847,0.012575284,2.8305326,0.053230025,2.747871,0.0,1.0,23.032883528884387,0.38628447,0.19154872,1300.0,4.5723653,39.75,1.0,nan,nan,nan,0.0,nan,nan
13,0.05535476605097453,0.00630174,2.8325915,0.047509,2.74896,0.0,1.0,23.578619850169243,0.39433783,0.2155163,1400.0,5.0369368,40.36,1.0,nan,nan,nan,0.0,nan,nan
14,0.06367037296295167,0.016081933,2.8369908,0.058118377,2.7506485,0.0,1.0,23.938875919437237,0.28042388,0.16375294,1500.0,5.115748,40.78,1.0,nan,nan,nan,0.0,nan,nan
15,0.06112753947575887,0.016106663,2.841538,0.055687185,2.750843,0.0,1.0,23.295090636501175,0.47190884,0.22054102,1600.0,5.616359,40.01,1.0,nan,nan,nan,0.0,nan,nan
16,0.0640153169631958,0.014654146,2.8419476,0.051396888,2.7493598,0.0,1.0,22.361907970542397,0.47968507,0.28379443,1700.0,6.2410784,38.25,0.94,nan,nan,nan,0.0,nan,nan
17,0.05978469848632813,0.018449184,2.8463812,0.05445403,2.7502284,0.0,1.0,22.88519767992144,0.40764812,0.21029514,1800.0,6.2257633,39.57,1.0,nan,nan,nan,0.0,nan,nan
18,0.060596187909444175,0.020860601,2.8477378,0.05555829,2.7501273,0.0,1.0,23.309465239999913,0.38338977,0.23098652,1900.0,6.7838106,39.98,0.99,nan,nan,nan,0.0,nan,nan
19,0.061048269271850586,0.022092007,2.846634,0.05448807,2.747282,0.0,1.0,21.642034170110072,0.63398963,0.27318498,2000.0,7.689608,36.67,0.88,nan,nan,nan,0.0,nan,nan
20,0.06198874711990356,0.020724595,2.8513103,0.05293933,2.750092,0.0,1.0,24.340836913261374,0.40540573,0.2133434,2100.0,8.222659,41.26,1.0,nan,nan,nan,0.0,nan,nan
21,0.060250194867451985,0.027220575,2.8540735,0.0566888,2.7519073,0.0,1.0,23.322587688178892,0.37416086,0.19288962,2200.0,7.903273,40.08,1.0,nan,nan,nan,0.0,nan,nan
22,0.06853894392649333,0.025114326,2.8516228,0.05768595,2.749176,0.0,1.0,23.846167252011636,0.4218153,0.23368604,2300.0,8.402644,40.7,1.0,nan,nan,nan,0.0,nan,nan
23,0.06385008891423544,0.026539003,2.854782,0.059255686,2.750338,0.0,1.0,23.9419547083755,0.38337344,0.16746883,2400.0,8.61335,40.82,1.0,nan,nan,nan,0.0,nan,nan
24,0.05582994222640991,0.022820221,2.8563585,0.054856084,2.7489192,0.0,1.0,24.613902176037993,0.21941356,0.117070876,2500.0,9.286939,41.62,1.0,nan,nan,nan,0.0,nan,nan
25,0.05489042599995931,0.031341597,2.856246,0.061662387,2.7469926,0.0,1.0,24.669705403423844,0.34724164,0.1441905,2600.0,9.539709,41.7,1.0,nan,nan,nan,0.0,nan,nan
26,0.05614335536956787,0.030818647,2.8556783,0.061028384,2.7467067,0.0,1.0,24.425408774252986,0.41266578,0.19530247,2700.0,10.180728,41.41,1.0,nan,nan,nan,0.0,nan,nan
27,0.0556370735168457,0.02975179,2.8566523,0.059374005,2.7455978,0.0,1.0,24.61985934347485,0.31646165,0.15151389,2800.0,10.887848,41.65,1.0,nan,nan,nan,0.0,nan,nan
28,0.055445977052052814,0.03162033,2.8592124,0.0606689,2.7462995,0.0,1.0,24.6423789272446,0.25042453,0.12345359,2900.0,11.113282,41.68,1.0,nan,nan,nan,0.0,nan,nan
29,0.05552759567896525,0.037189096,2.8607721,0.063414134,2.747484,0.0,1.0,25.82818744783031,0.30446994,0.18106684,3000.0,11.306226,43.03,1.0,nan,nan,nan,0.0,nan,nan
30,0.056016560395558676,0.034933474,2.8616784,0.060380474,2.7485108,0.0,1.0,25.922262472565578,0.2951642,0.16628729,3100.0,12.0331545,43.1,1.0,nan,nan,nan,0.0,nan,nan
31,0.055415527025858564,0.034408122,2.861092,0.05859169,2.7474399,0.0,1.0,25.34388296156273,0.2229313,0.09890918,3200.0,12.423517,42.49,1.0,nan,nan,nan,0.0,nan,nan
32,0.055887579917907715,0.032694966,2.8633468,0.056152236,2.7491417,0.0,1.0,25.511116504531707,0.21453106,0.090855144,3300.0,12.84963,42.68,1.0,nan,nan,nan,0.0,nan,nan
33,0.055564272403717044,0.034306593,2.8645525,0.058622397,2.750732,0.0,1.0,25.78302954929971,0.26894736,0.14322215,3400.0,12.477509,43.0,1.0,nan,nan,nan,0.0,nan,nan
34,0.05580779711405436,0.035649456,2.8631697,0.059063133,2.7484531,0.0,1.0,25.868862400542675,0.17280407,0.07904197,3500.0,13.1999235,43.08,1.0,nan,nan,nan,0.0,nan,nan
35,0.055988021691640216,0.03477439,2.8645465,0.05692684,2.7489426,0.0,1.0,26.277528634068613,0.21513169,0.115586564,3600.0,13.751892,43.56,1.0,nan,nan,nan,0.0,nan,nan
36,0.05601241191228231,0.036190115,2.8654008,0.059903745,2.7502534,0.0,1.0,26.37869810313949,0.23861496,0.12104872,3700.0,14.460406,43.65,1.0,nan,nan,nan,0.0,nan,nan
37,0.05593827962875366,0.032206774,2.8644528,0.05665475,2.7478547,0.0,1.0,25.95604430174994,0.22821802,0.12285329,3800.0,14.787226,43.18,1.0,nan,nan,nan,0.0,nan,nan
38,0.05538053909937541,0.03246917,2.8659484,0.058438335,2.7492626,0.0,1.0,25.81558419851417,0.15053016,0.091282874,3900.0,15.293144,43.03,1.0,nan,nan,nan,0.0,nan,nan
39,0.06120618184407552,0.02999163,2.8653536,0.0564072,2.7486615,0.0,1.0,26.654359974833834,0.24279806,0.113654554,4000.0,15.451838,43.96,1.0,nan,nan,nan,0.0,nan,nan
40,0.06215936342875163,0.028284755,2.8646963,0.05374422,2.7498307,0.0,1.0,26.014557844941223,0.19674698,0.123274826,4100.0,15.709002,43.25,1.0,nan,nan,nan,0.0,nan,nan
41,0.06436353127161662,0.03016736,2.8643172,0.05610613,2.750022,0.0,1.0,26.100580945901648,0.2216971,0.1428771,4200.0,15.850592,43.33,1.0,nan,nan,nan,0.0,nan,nan
42,0.06449329058329265,0.03069537,2.8628137,0.057547837,2.749816,0.0,1.0,26.20292296288073,0.21953547,0.10670265,4300.0,16.616236,43.44,1.0,nan,nan,nan,0.0,nan,nan
43,0.06356154282887777,0.0322575,2.8612752,0.05879232,2.7495508,0.0,1.0,25.77053798191107,0.21420553,0.14328095,4400.0,17.133547,42.97,1.0,nan,nan,nan,0.0,nan,nan
44,0.05790741840998332,0.028320998,2.8584971,0.056273162,2.747768,0.0,1.0,26.226244398437352,0.13196057,0.086755686,4500.0,17.503468,43.49,1.0,nan,nan,nan,0.0,nan,nan
45,0.056740955511728926,0.026315406,2.8584394,0.055596955,2.748354,0.0,1.0,25.925178170267568,0.17449726,0.12291584,4600.0,17.687027,43.14,1.0,nan,nan,nan,0.0,nan,nan
46,0.059072848161061606,0.02679493,2.8574195,0.05549924,2.7482562,0.0,1.0,26.20514173749047,0.15127453,0.103992134,4700.0,17.920395,43.47,1.0,nan,nan,nan,0.0,nan,nan
47,0.06487755378087362,0.027056543,2.856946,0.056140177,2.7486773,0.0,1.0,26.355556775705736,0.24976437,0.12251942,4800.0,18.205406,43.63,1.0,nan,nan,nan,0.0,nan,nan
48,0.06272351741790771,0.026402289,2.8576033,0.054916985,2.7504828,0.0,1.0,26.082274941060092,0.15838507,0.09180837,4900.0,18.642288,43.32,1.0,nan,nan,nan,0.0,nan,nan
49,0.05885674556096395,0.025786618,2.8568382,0.05409932,2.750641,0.0,1.0,26.213561023080203,0.1729647,0.13014765,5000.0,18.709166,43.47,1.0,nan,nan,nan,0.0,nan,nan
