# {"t_start": 1687708147.797545, "env_id": "FetchReach-v1"} 
r,l,t
-50.0,50,3.76484
-50.0,50,3.849857
-50.0,50,3.932275
-50.0,50,4.02574
-50.0,50,4.116785
-50.0,50,4.20327
-50.0,50,4.28136
-50.0,50,4.370042
-50.0,50,4.450269
-50.0,50,4.528843
-50.0,50,4.608641
-50.0,50,4.686693
-50.0,50,4.766452
-50.0,50,4.85079
-50.0,50,4.946267
-50.0,50,5.028814
-50.0,50,5.107711
-50.0,50,5.185905
-50.0,50,5.262476
-50.0,50,5.345289
-50.0,50,5.422307
-50.0,50,5.500658
-50.0,50,5.580172
-20.0,50,5.658365
-50.0,50,5.733126
-50.0,50,5.81244
-50.0,50,5.899519
-50.0,50,5.97447
-50.0,50,6.049376
-50.0,50,6.126919
-50.0,50,6.20367
-50.0,50,6.281326
-50.0,50,6.36597
-50.0,50,6.447569
-50.0,50,6.523353
-50.0,50,6.598967
-50.0,50,6.676057
-50.0,50,6.751316
-50.0,50,6.836619
-50.0,50,6.920743
-50.0,50,6.999506
-50.0,50,7.079451
-50.0,50,7.159755
-50.0,50,7.239177
-50.0,50,7.318757
-50.0,50,7.40244
-50.0,50,7.480858
-50.0,50,7.558838
-50.0,50,7.637233
-50.0,50,7.716748
-50.0,50,7.796273
-50.0,50,7.881014
-50.0,50,7.959502
-50.0,50,8.037344
-50.0,50,8.114813
-50.0,50,8.194375
-50.0,50,8.274574
-50.0,50,8.360691
-50.0,50,8.438246
-50.0,50,8.516889
-3.0,50,8.594652
-50.0,50,8.673472
-50.0,50,8.750825
-50.0,50,8.833797
-50.0,50,8.91428
-50.0,50,8.992567
-50.0,50,9.070709
-50.0,50,9.148522
-50.0,50,9.229173
-50.0,50,9.308589
-50.0,50,9.391525
-50.0,50,9.46937
-50.0,50,9.548158
-50.0,50,9.626762
-50.0,50,9.705326
-50.0,50,9.782954
-50.0,50,9.870356
-50.0,50,9.94778
-50.0,50,10.024725
-50.0,50,10.103112
-50.0,50,10.180159
-50.0,50,10.2581
-50.0,50,10.3426
0.0,50,10.420551
-50.0,50,10.499016
-50.0,50,10.576759
-50.0,50,10.65386
-50.0,50,10.732519
-50.0,50,10.810371
-50.0,50,10.893348
-50.0,50,10.971774
-50.0,50,11.050355
-50.0,50,11.126806
-50.0,50,11.205781
-50.0,50,11.284066
-50.0,50,11.370361
-50.0,50,11.449134
-50.0,50,11.526767
-50.0,50,11.608207
-50.0,50,11.695011
-50.0,50,14.021317
-50.0,50,14.124747
-50.0,50,14.223016
-50.0,50,14.323381
-50.0,50,14.425394
-35.0,50,14.51536
-50.0,50,14.60613
0.0,50,14.694077
-50.0,50,14.783197
-50.0,50,14.878282
-50.0,50,14.964855
-50.0,50,15.053288
-50.0,50,15.14099
-50.0,50,15.230758
-49.0,50,15.318909
-50.0,50,15.407972
-50.0,50,15.496754
-50.0,50,15.583566
-50.0,50,15.676554
-39.0,50,15.764777
-50.0,50,15.858171
-50.0,50,15.950857
-50.0,50,16.043278
-50.0,50,16.14674
0.0,50,16.238955
-50.0,50,16.333181
-50.0,50,16.417181
-50.0,50,16.49556
-50.0,50,16.577765
-50.0,50,16.66629
-50.0,50,16.754255
-50.0,50,16.84519
-50.0,50,16.937665
-50.0,50,17.026898
-50.0,50,17.112935
-50.0,50,17.200761
-50.0,50,17.295125
-50.0,50,17.397119
-50.0,50,17.483211
-50.0,50,17.566452
-50.0,50,17.645788
-50.0,50,17.725761
-50.0,50,17.805308
-50.0,50,17.891258
-50.0,50,17.971769
-50.0,50,18.049615
-50.0,50,18.12936
-50.0,50,18.207391
-50.0,50,18.290544
-50.0,50,18.382588
-50.0,50,18.469498
-50.0,50,18.555827
-45.0,50,18.642001
-42.0,50,18.728716
-50.0,50,18.818028
-50.0,50,18.909122
-50.0,50,18.998667
0.0,50,19.099477
-50.0,50,19.204026
-23.0,50,19.294677
-50.0,50,19.379151
-50.0,50,19.459324
-50.0,50,19.538489
-50.0,50,19.620826
-50.0,50,19.71147
-50.0,50,19.80753
-50.0,50,19.899944
-50.0,50,19.979156
-50.0,50,20.05845
-50.0,50,20.142549
-50.0,50,20.224708
-50.0,50,20.305144
-50.0,50,20.398362
-50.0,50,20.483121
-50.0,50,20.566823
-17.0,50,20.648384
-50.0,50,20.730443
-50.0,50,20.811492
-50.0,50,20.896419
-50.0,50,20.982243
-50.0,50,21.060077
-50.0,50,21.140382
-44.0,50,21.220784
-50.0,50,21.30676
-50.0,50,21.396073
-50.0,50,21.476681
-50.0,50,21.555066
-50.0,50,21.64229
-50.0,50,21.72195
-50.0,50,21.805737
-50.0,50,21.891006
-50.0,50,21.970205
-50.0,50,22.050646
-50.0,50,22.146902
-16.0,50,22.248317
-50.0,50,22.336427
-50.0,50,22.418523
-17.0,50,22.503536
-50.0,50,22.608844
-50.0,50,22.698298
-49.0,50,25.17345
-50.0,50,25.260657
